system_name,avg_time,run_count,std_time,name_length
1afb__1__1.A__1.D_1.F,29.715000000000003,2,38.00698948877693,21
1b5d__1__1.A_1.B__1.D,32.57,2,42.04456920935211,21
1bcj__1__1.B__1.I_1.K,59.665,2,80.3485435462274,21
1ci0__1__1.A_1.B__1.D,71.33500000000001,2,96.96555290411126,21
1d7c__1__1.A_1.B__1.E_1.K,2.8,2,0.04242640687119305,25
1d7d__1__1.A_1.B__1.E_1.L,2.8600000000000003,2,0.01414213562373112,25
1dku__2__1.B_3.A_3.B__3.E,37.919999999999995,2,49.59646963242444,25
1dp4__2__1.A__1.C,45.435,2,60.23842668928198,17
1dvr__1__1.A_1.B__1.C,58.475,2,78.65148727137968,21
1e1z__1__2.A__2.B,51.105,2,68.27115972356117,17
1esw__1__1.A__1.B_1.D,137.065,2,189.7945311382812,21
1fj4__1__1.B__1.F,48.435,2,64.48106737640127,17
1g4s__2__1.B__1.F_1.G_1.H,54.29,2,72.7895720553432,25
1g4t__2__1.B__1.F_1.G_1.H,60.195,2,81.09807673428514,25
1g60__1__1.A__1.D,72.63000000000001,2,98.71210665364204,17
1g77__1__1.A_2.A__2.D_2.E,51.43,2,68.73077913133243,25
1gm9__1__1.A_1.B__1.M_1.O,57.765,2,77.66153777771852,25
1gqg__2__1.B__1.Q,68.22500000000001,2,92.46835377576483,17
1gtk__1__1.A__1.B,72.66,2,98.76867519613697,17
1gzf__3__1.C__1.I_1.J,40.445,2,53.18150101304024,21
1h1i__1__1.A_1.C__1.E,66.61,2,90.17025673690854,21
1h33__1__1.A__1.D,2.935,2,0.06363961030678918,17
1h36__1__2.B__2.G,107.875,2,148.5702057951055,17
1h3c__1__2.B__2.G,68.98,2,93.5360850153565,17
1h79__1__1.A_2.A__2.B_2.C,100.115,2,137.59590855109028,25
1h7a__1__1.A_2.A__2.B_2.D,96.81,2,132.89364845619974,25
1h8v__1__1.A__1.G,2.8499999999999996,2,0.014142135623730807,17
