protein,model,confidence,ligand_rmsd,protein_ca_aligned_rmsd,protein_ca_unaligned_rmsd,protein_backbone_aligned_rmsd,protein_backbone_unaligned_rmsd,binding_site_aligned_rmsd,binding_site_unaligned_rmsd
1r34__1__1.A__1.C_1.D,0,0.9763550162315369,6.987975443438195,26.69785051335166,80.11936,26.630729996871953,80.07209,24.30223992670297,83.83118438720703
1r34__1__1.A__1.C_1.D,1,0.9760530591011047,6.879853087128838,26.718041357004953,79.75636,26.649675087611687,79.75594,24.351571249727776,83.60432434082031
1r34__1__1.A__1.C_1.D,2,0.9758357405662537,7.03973830154827,26.694592279257087,86.245,26.62602341523211,86.22803,24.28711709294244,92.44092559814453
1r34__1__1.A__1.C_1.D,3,0.9757424592971802,7.078609151655765,26.70887464228082,85.7583,26.639958366023052,85.738014,24.33943254647096,82.58448791503906
1r34__1__1.A__1.C_1.D,4,0.9757062792778015,7.026562486803372,26.679868867414275,86.54451,26.611605002867833,86.50871,24.29518981184301,72.70606994628906
2vfs__1__1.A__1.B_1.C,0,0.9862362146377563,12.142590796339901,16.10583339299403,59.502346,16.012231331705404,59.489155,14.93275635474691,53.9429931640625
2vfs__1__1.A__1.B_1.C,1,0.9862193465232849,12.173701619218932,16.10189591154779,57.658226,16.007756077322156,57.64694,14.927084431128035,53.64017105102539
2vfs__1__1.A__1.B_1.C,2,0.9860531091690063,12.18529166382376,16.122788963767203,60.809303,16.02953448048087,60.793697,14.950495838757258,56.80342102050781
2vfs__1__1.A__1.B_1.C,3,0.9860259890556335,12.13388259503893,16.114628778892442,62.3011,16.02212869545696,62.281773,14.922766914216476,48.289154052734375
2vfs__1__1.A__1.B_1.C,4,0.9859743118286133,12.165527397372726,16.096924379840935,58.47509,16.00431944114635,58.446033,14.916976150257417,52.053916931152344
6kfe__1__1.A_2.A__1.D,0,0.9636522531509399,20.691173219860826,0.5388444945289668,34.02577,0.5387081030308135,33.988735,0.45960197254585755,16.857885360717773
6kfe__1__1.A_2.A__1.D,1,0.9634544253349304,12.46107659588735,0.4464919410839767,34.31279,0.4649096211360106,34.25731,0.3269157055163329,28.62648582458496
6kfe__1__1.A_2.A__1.D,2,0.9586028456687927,17.919132494547355,0.5359333953732631,28.233955,0.5508397617932862,28.221544,0.4199757217333587,26.74222183227539
6kfe__1__1.A_2.A__1.D,3,0.958530068397522,18.912122982740087,0.44708105717163915,28.43486,0.4488148646154571,28.397982,0.36627317859279956,23.142728805541992
6kfe__1__1.A_2.A__1.D,4,0.9575821161270142,16.01234647300103,0.5152041191749451,35.235016,0.51405663157658,35.21353,0.44598961632041384,31.513877868652344
