target_id,rank,score,method,ref_path,pred_path,rmsd,n_atoms,alignment_method,ref_atoms,pred_atoms,success,error
1r34__1__1.A__1.C_1.D,9,0.31,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank9_score0.31.sdf,1.915915102210458,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,6,0.66,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank6_score0.66.sdf,1.4636678264518002,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,5,0.72,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank5_score0.72.sdf,1.9341555382916664,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,4,0.83,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank4_score0.83.sdf,0.4403886842942536,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,7,0.35,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank7_score0.35.sdf,2.388823930106988,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,2,0.92,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank2_score0.92.sdf,1.2890017799606721,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,3,0.89,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank3_score0.89.sdf,1.6581899016646464,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,1,0.92,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank1_score0.92.sdf,1.0830901283500114,21,global,21,22,True,
1r34__1__1.A__1.C_1.D,8,0.32,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/1r34__1__1.A__1.C_1.D/1r34__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/1r34__1__1.A__1.C_1.D/rank8_score0.32.sdf,2.0215277130181564,21,global,21,22,True,
2vfs__1__1.A__1.B_1.C,4,0.85,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank4_score0.85.sdf,1.8338949858072036,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,6,0.77,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank6_score0.77.sdf,3.5336762285471526,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,1,0.99,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank1_score0.99.sdf,0.4119544096069344,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,8,0.74,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank8_score0.74.sdf,2.4829568781467994,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,9,0.56,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank9_score0.56.sdf,2.328311266307794,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,7,0.77,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank7_score0.77.sdf,2.2720049413887065,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,2,0.93,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank2_score0.93.sdf,1.3691777600852715,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,3,0.89,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank3_score0.89.sdf,2.4785147348974528,53,global,53,53,True,
2vfs__1__1.A__1.B_1.C,5,0.84,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2vfs__1__1.A__1.B_1.C/2vfs__1__1.A__1.B_1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2vfs__1__1.A__1.B_1.C/rank5_score0.84.sdf,1.8851876974316224,53,global,53,53,True,
6kfe__1__1.A_2.A__1.D,3,0.54,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank3_score0.54.sdf,1.0572687777027143,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,4,0.54,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank4_score0.54.sdf,0.2534664471103005,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,7,0.5,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank7_score0.50.sdf,0.30149795236106935,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,1,0.59,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank1_score0.59.sdf,1.1259433242062569,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,8,0.49,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank8_score0.49.sdf,1.1332193927080167,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,9,0.48,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank9_score0.48.sdf,1.1319388369021386,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,6,0.52,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank6_score0.52.sdf,1.1309744284276404,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,5,0.53,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank5_score0.53.sdf,0.4803318121020938,14,global,14,14,True,
6kfe__1__1.A_2.A__1.D,2,0.55,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/6kfe__1__1.A_2.A__1.D/6kfe__1__1.A_2.A__1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/6kfe__1__1.A_2.A__1.D/rank2_score0.55.sdf,0.5454594404944642,14,global,14,14,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3,0.95,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank3_score0.95.sdf,4.496823099741205e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,1,0.98,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank1_score0.98.sdf,4.406498973270053e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,7,0.79,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank7_score0.79.sdf,4.3907192564606274e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,4,0.95,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank4_score0.95.sdf,4.801584322754495e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,9,0.67,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank9_score0.67.sdf,5.0113413496847805e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,8,0.68,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank8_score0.68.sdf,4.9279271403076927e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,2,0.97,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank2_score0.97.sdf,4.534666087559692e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,5,0.87,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank5_score0.87.sdf,4.812239585975193e-05,19,global,19,19,True,
2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,6,0.83,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F/rank6_score0.83.sdf,4.454362461824297e-05,19,global,19,19,True,
5hcn__1__1.A__1.C_1.D,2,0.99,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank2_score0.99.sdf,1.5792156607835146,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,1,0.99,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank1_score0.99.sdf,0.7038909350359396,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,7,0.9,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank7_score0.90.sdf,1.4829591025911757,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,8,0.88,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank8_score0.88.sdf,2.01438538518444,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,9,0.88,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank9_score0.88.sdf,2.0708571651052754,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,4,0.98,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank4_score0.98.sdf,1.9632745493564885,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,6,0.92,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank6_score0.92.sdf,1.3827996306605423,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,5,0.93,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank5_score0.93.sdf,2.6837984113743967,32,global,32,32,True,
5hcn__1__1.A__1.C_1.D,3,0.98,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/5hcn__1__1.A__1.C_1.D/5hcn__1__1.A__1.C_1.D_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/5hcn__1__1.A__1.C_1.D/rank3_score0.98.sdf,2.2921828263644897,32,global,32,32,True,
7li5__1__1.A__1.C,9,0.37,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7li5__1__1.A__1.C/7li5__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/7li5__1__1.A__1.C/rank9_score0.37.sdf,1.7564759164516492,32,mcs,33,32,True,
7li5__1__1.A__1.C,3,0.84,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7li5__1__1.A__1.C/7li5__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/7li5__1__1.A__1.C/rank3_score0.84.sdf,0.6763091697320188,32,mcs,33,32,True,
7li5__1__1.A__1.C,6,0.48,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7li5__1__1.A__1.C/7li5__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/7li5__1__1.A__1.C/rank6_score0.48.sdf,1.5054970891661004,32,mcs,33,32,True,
7li5__1__1.A__1.C,7,0.47,GNINA,/Users/aoxu/projects/DrugDiscovery/PoseBench/data/plinder_set/7li5__1__1.A__1.C/7li5__1__1.A__1.C_ligand.sdf,/Users/aoxu/projects/DrugDiscovery/PoseBench/forks/GNINA/inference/GNINA_plinder_output_0/7li5__1__1.A__1.C/rank7_score0.47.sdf,1.4457538406187416,32,mcs,33,32,True,
