mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,all_atoms_connected,molecular_formula,molecular_bonds,double_bond_stereochemistry,tetrahedral_chirality,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,rmsd_≤_2å,passes_valence_checks,passes_kekulization,inchi_crystal_valid,inchi_docked_valid,inchi_crystal,inchi_docked,inchi_overall,inchi_version,hydrogens,net_charge,protons,stereo_sp3,stereo_sp3_inverted,stereo_type,stereochemistry_preserved,number_bonds,shortest_bond_relative_length,longest_bond_relative_length,number_short_outlier_bonds,number_long_outlier_bonds,number_angles,most_extreme_relative_angle,number_outlier_angles,number_noncov_pairs,shortest_noncovalent_relative_distance,number_clashes,number_valid_bonds,number_valid_angles,number_valid_noncov_pairs,number_aromatic_rings_checked,number_aromatic_rings_pass,aromatic_ring_maximum_distance_from_plane,number_double_bonds_checked,number_double_bonds_pass,double_bond_maximum_distance_from_plane,ensemble_avg_energy,mol_pred_energy,energy_ratio,smallest_distance_protein,num_pairwise_clashes_protein,most_extreme_ligand_atom_id_protein,most_extreme_protein_atom_id_protein,most_extreme_ligand_element_protein,most_extreme_protein_element_protein,most_extreme_ligand_vdw_protein,most_extreme_protein_vdw_protein,most_extreme_sum_radii_protein,most_extreme_distance_protein,most_extreme_sum_radii_scaled_protein,most_extreme_relative_distance_protein,most_extreme_clash_protein,smallest_distance_organic_cofactors,not_too_far_away_organic_cofactors,num_pairwise_clashes_organic_cofactors,most_extreme_ligand_atom_id_organic_cofactors,most_extreme_protein_atom_id_organic_cofactors,most_extreme_ligand_element_organic_cofactors,most_extreme_protein_element_organic_cofactors,most_extreme_ligand_vdw_organic_cofactors,most_extreme_protein_vdw_organic_cofactors,most_extreme_sum_radii_organic_cofactors,most_extreme_distance_organic_cofactors,most_extreme_sum_radii_scaled_organic_cofactors,most_extreme_relative_distance_organic_cofactors,most_extreme_clash_organic_cofactors,smallest_distance_inorganic_cofactors,not_too_far_away_inorganic_cofactors,num_pairwise_clashes_inorganic_cofactors,most_extreme_ligand_atom_id_inorganic_cofactors,most_extreme_protein_atom_id_inorganic_cofactors,most_extreme_ligand_element_inorganic_cofactors,most_extreme_protein_element_inorganic_cofactors,most_extreme_ligand_vdw_inorganic_cofactors,most_extreme_protein_vdw_inorganic_cofactors,most_extreme_sum_radii_inorganic_cofactors,most_extreme_distance_inorganic_cofactors,most_extreme_sum_radii_scaled_inorganic_cofactors,most_extreme_relative_distance_inorganic_cofactors,most_extreme_clash_inorganic_cofactors,smallest_distance_waters,not_too_far_away_waters,num_pairwise_clashes_waters,most_extreme_ligand_atom_id_waters,most_extreme_protein_atom_id_waters,most_extreme_ligand_element_waters,most_extreme_protein_element_waters,most_extreme_ligand_vdw_waters,most_extreme_protein_vdw_waters,most_extreme_sum_radii_waters,most_extreme_distance_waters,most_extreme_sum_radii_scaled_waters,most_extreme_relative_distance_waters,most_extreme_clash_waters,volume_overlap_protein,volume_overlap_organic_cofactors,volume_overlap_inorganic_cofactors,volume_overlap_waters,rmsd,kabsch_rmsd,centroid_distance,score,method,protein,rank
True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H19Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h4-7,10-18H,1-3H2/t4-,5+,6-",False,True,False,True,True,False,True,True,False,18,0.887793841743433,1.0084230980583717,0,0,28,1.0789740490837596,0,107,0.9794381609484586,0,18,28,107,0,0,,0,0,,138.77319489190478,64567.21292470275,465.27150272065415,1.0465342803749904,9,12,792,Cl,C,1.8,1.7,3.5,1.0465342803749904,3.5,0.2990097943928544,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.1191077441077441,,,,,,17.8878917448109,0.9650205969810486,boltz,6au0__1__1.A__1.B,1
True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H19Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h4-7,10-18H,1-3H2/t4-,5+,6-",False,True,False,True,True,False,True,True,False,18,0.8864882224013072,1.0060965658556031,0,0,28,1.0648985475106763,0,107,1.0205635922510985,0,18,28,107,0,0,,0,0,,138.77319489190478,101018.9720193076,727.9429726900412,,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,,,,,,45.523369061910536,0.9648289680480957,boltz,6au0__1__1.A__1.B,2
True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H19Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h4-7,10-18H,1-3H2/t4-,5+,6-",False,True,False,True,True,False,True,True,False,18,0.8853949712431738,1.0053827710777379,0,0,28,1.0642878047902724,0,107,0.9989466059119342,0,18,28,107,0,0,,0,0,,138.77319489190478,94016.85372265376,677.4856902003786,,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,,,,,,46.63457053295559,0.963138997554779,boltz,6au0__1__1.A__1.B,3
True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H19Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h4-7,10-18H,1-3H2/t4-,5+,6-",False,True,False,True,True,False,True,True,False,18,0.8921448680075545,1.0054296563776373,0,0,28,1.0661104236413586,0,107,1.0315314546155299,0,18,28,107,0,0,,0,0,,138.77319489190478,93882.13673054369,676.514919208077,,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,,,,,,39.934202767115075,0.9630295038223267,boltz,6au0__1__1.A__1.B,4
True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C7H9Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h1-3,7,10H,(H2,11,12,13)(H2,14,15,16)","InChI=1S/C7H19Cl2NO6P2/c8-4-1-5(9)3-6(2-4)10-7(17(11,12)13)18(14,15)16/h4-7,10-18H,1-3H2/t4-,5+,6-",False,True,False,True,True,False,True,True,False,18,0.887219566047654,1.0011545029998248,0,0,28,1.072229732535971,0,107,1.0392198904365377,0,18,28,107,0,0,,0,0,,138.77319489190478,68488.30498479307,493.5269022100483,0.8028156700015261,30,14,960,P,C,1.95,1.7,3.65,0.8028156700015261,3.65,0.2199494986305551,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.3229995810640972,,,,,,30.333037108748947,0.9628675580024719,boltz,6au0__1__1.A__1.B,5
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C18H25F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h2,4,6,8,13-14,16-17,24,26-27H,3,5,7,9-10H2,1H3,(H,22,25)/t13-,14-,16+,17-/m1/s1","InChI=1S/C18H33F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h11-17,22,24-27H,2-10H2,1H3/t11-,12-,13-,14-,15+,16-,17-/m1/s1",False,True,False,True,True,False,True,True,False,28,0.8651989678032619,1.016499813536353,0,0,40,1.0675418842609465,0,283,1.1006028383199875,0,28,40,283,0,0,,0,0,,66.21780753373113,476.1116389555373,7.190084611499823,0.677719706073241,7,7,6035,O,S,1.55,1.8,3.35,0.677719706073241,3.35,0.20230438987260924,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.07350665428659858,,,,,,36.63886168780053,0.9415072798728943,boltz,5m7u__1__1.A_1.B__1.D,1
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,"InChI=1S/C18H25F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h2,4,6,8,13-14,16-17,24,26-27H,3,5,7,9-10H2,1H3,(H,22,25)/t13-,14-,16+,17-/m1/s1","InChI=1S/C18H33F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h11-17,22,24-27H,2-10H2,1H3/t11-,12-,13-,14-,15+,16-,17-/m1/s1",False,True,False,True,True,False,True,True,False,28,0.8649801552980401,1.0146898969482996,0,0,40,1.0434445774735088,0,283,1.0955870882072025,0,28,40,283,0,0,,0,0,,67.76250066015491,536.1723870553941,7.912523620467113,0.3876132092692406,52,22,3926,C,C,1.7,1.7,3.4,0.3876132092692406,3.4,0.1140038850791884,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.27269905323607013,,,,,,31.238767565099014,0.9379313588142395,boltz,5m7u__1__1.A_1.B__1.D,2
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C18H25F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h2,4,6,8,13-14,16-17,24,26-27H,3,5,7,9-10H2,1H3,(H,22,25)/t13-,14-,16+,17-/m1/s1","InChI=1S/C18H33F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h11-17,22,24-27H,2-10H2,1H3/t11-,12-,13-,14+,15+,16-,17-/m1/s1",False,True,False,True,True,False,True,True,False,28,0.8667423630291643,1.0224539485645627,0,0,40,1.0364593242845053,0,283,1.094758217985267,0,28,40,283,0,0,,0,0,,66.12025990284846,479.70269857755983,7.255003221136676,2.2921101631466145,1,20,3915,C,O,1.7,1.55,3.25,2.2921101631466145,3.25,0.7052646655835737,True,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,0.017668939863608183,,,,,,35.68642811487414,0.9344029426574707,boltz,5m7u__1__1.A_1.B__1.D,3
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C18H25F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h2,4,6,8,13-14,16-17,24,26-27H,3,5,7,9-10H2,1H3,(H,22,25)/t13-,14-,16+,17-/m1/s1","InChI=1S/C18H33F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h11-17,22,24-27H,2-10H2,1H3/t11-,12-,13-,14-,15+,16-,17-/m1/s1",False,True,False,True,True,False,True,True,False,28,0.8666848252675641,1.0183704845618402,0,0,40,1.0627394063299633,0,283,1.0963877247528224,0,28,40,283,0,0,,0,0,,66.21780753373113,464.8848615114545,7.0205414347891795,,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,,,,,,42.56045628961521,0.9337927103042603,boltz,5m7u__1__1.A_1.B__1.D,4
True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,"InChI=1S/C18H25F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h2,4,6,8,13-14,16-17,24,26-27H,3,5,7,9-10H2,1H3,(H,22,25)/t13-,14-,16+,17-/m1/s1","InChI=1S/C18H33F3N2O4/c1-22-15(25)9-13-16(26)17(27)14(10-24)23(13)7-3-5-11-4-2-6-12(8-11)18(19,20)21/h11-17,22,24-27H,2-10H2,1H3/t11-,12-,13-,14-,15+,16-,17-/m1/s1",False,True,False,True,True,False,True,True,False,28,0.8672175813083957,1.0134828261738105,0,0,40,1.0709204105798646,0,283,1.0971148488888298,0,28,40,283,0,0,,0,0,,66.21780753373113,441.3164603868364,6.664619032607373,,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,False,0,,,,,,,,,,,,,,,,,,42.27472615903825,0.9332567453384399,boltz,5m7u__1__1.A_1.B__1.D,5
