target_id,boltz_best_rmsd,gnina_best_rmsd,gnina_best_rank,gnina_rank1_rmsd,boltz_better,difference
6oa1__1__1.A__1.B,1.151640994069898,0.4481555020031601,8,1.61316500517378,False,0.7034854920667378
5j61__3__1.E_1.F__1.M,0.4151715545925558,0.5453937338025335,1,0.5453937338025335,True,-0.13022217920997775
5hmy__1__1.A__1.D,0.6334002603725151,0.8393040753250768,4,0.9234525250008243,True,-0.20590381495256171
3ue1__1__1.B__1.D,1.3612805219051176,1.4378734881778015,4,3.385453741422898,True,-0.07659296627268386
3vlw__1__1.A__1.C_1.I,0.9540017500924011,0.48348631742728504,1,0.48348631742728504,False,0.47051543266511603
6bjo__1__1.B__1.D,1.2894454327268599,0.18515193881774566,1,0.18515193881774566,False,1.1042934939091142
6i1g__2__1.B__1.D,0.9531630883543515,1.3412352013391653,4,2.227631742114856,True,-0.3880721129848138
7plr__3__1.C__1.O_1.P_1.Q_1.R,0.48063432996848277,0.4017452408387599,1,0.4017452408387599,False,0.07888908912972287
3vw2__1__1.A__1.E,0.6377533991726267,0.341068115079891,5,0.4796680544171618,False,0.29668528409273576
6fgx__1__1.A__1.C_1.D,1.1958168728613137,1.570789637130371,2,2.7606979804696468,True,-0.37497276426905723
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,0.0365311665987301,3.869732583098122e-05,8,4.2120915537792195e-05,False,0.03649246927289911
5buh__1__1.A__1.B,0.5812321262990515,0.4818691876551854,1,0.4818691876551854,False,0.09936293864386614
7vbv__1__1.B__1.N,0.5544645835399918,0.14044448427065792,1,0.14044448427065792,False,0.4140200992693339
3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,1.3601188077815218,0.28280958025330444,2,1.1000513877290456,False,1.0773092275282175
8jyf__1__1.B__1.F,1.3040318374094457,1.0091387064387767,4,1.0503754021507286,False,0.29489313097066905
7w2g__1__1.A__1.M,1.547126630600846,0.658664619867475,6,0.9346994492812576,False,0.8884620107333709
