protein,idx,rmsd
1afb__1__1.A__1.D_1.F,0,0.618356
1afb__1__1.A__1.D_1.F,1,0.539813
1afb__1__1.A__1.D_1.F,2,0.51455
1afb__1__1.A__1.D_1.F,3,0.50554
1afb__1__1.A__1.D_1.F,4,0.367509
1bcj__1__1.B__1.I_1.K,0,1.1907
1bcj__1__1.B__1.I_1.K,1,1.05485
1bcj__1__1.B__1.I_1.K,2,0.903221
1bcj__1__1.B__1.I_1.K,3,1.15679
1bcj__1__1.B__1.I_1.K,4,1.08464
1esw__1__1.A__1.B_1.D,0,10.1846
1esw__1__1.A__1.B_1.D,1,10.1555
1esw__1__1.A__1.B_1.D,2,10.2152
1esw__1__1.A__1.B_1.D,3,10.1492
1esw__1__1.A__1.B_1.D,4,10.0508
1g4s__2__1.B__1.F_1.G_1.H,0,0.162057
1g4s__2__1.B__1.F_1.G_1.H,1,0.164877
1g4s__2__1.B__1.F_1.G_1.H,2,0.158666
1g4s__2__1.B__1.F_1.G_1.H,3,0.175651
1g4s__2__1.B__1.F_1.G_1.H,4,0.155648
1g4t__2__1.B__1.F_1.G_1.H,0,0.212962
1g4t__2__1.B__1.F_1.G_1.H,1,0.257103
1g4t__2__1.B__1.F_1.G_1.H,2,0.352633
1g4t__2__1.B__1.F_1.G_1.H,3,0.279456
1g4t__2__1.B__1.F_1.G_1.H,4,0.20678
1gm9__1__1.A_1.B__1.M_1.O,0,58.5814
1gm9__1__1.A_1.B__1.M_1.O,1,29.6031
1gm9__1__1.A_1.B__1.M_1.O,2,14.9778
1gm9__1__1.A_1.B__1.M_1.O,3,17.3257
1gm9__1__1.A_1.B__1.M_1.O,4,31.5189
1jep__5__1.A_2.A__1.E_1.F,0,1.21391
1jep__5__1.A_2.A__1.E_1.F,1,1.20577
1jep__5__1.A_2.A__1.E_1.F,2,1.19577
1jep__5__1.A_2.A__1.E_1.F,3,1.18193
1jep__5__1.A_2.A__1.E_1.F,4,1.18937
1juh__2__1.B__1.GA_1.X,0,25.5175
1juh__2__1.B__1.GA_1.X,1,25.2434
1juh__2__1.B__1.GA_1.X,2,24.7253
1juh__2__1.B__1.GA_1.X,3,25.1944
1juh__2__1.B__1.GA_1.X,4,25.8034
1ka1__1__1.A__1.B_1.C_1.D,0,0.745788
1ka1__1__1.A__1.B_1.C_1.D,1,0.440483
1ka1__1__1.A__1.B_1.C_1.D,2,0.744297
1ka1__1__1.A__1.B_1.C_1.D,3,1.80744
1ka1__1__1.A__1.B_1.C_1.D,4,0.442413
1nme__2__3.A_4.A_4.B__4.C_4.D,0,51.4659
1nme__2__3.A_4.A_4.B__4.C_4.D,1,50.3039
1nme__2__3.A_4.A_4.B__4.C_4.D,2,50.0274
1nme__2__3.A_4.A_4.B__4.C_4.D,3,50.1684
1nme__2__3.A_4.A_4.B__4.C_4.D,4,49.2791
1q91__1__1.A__1.B_1.C_1.D,0,0.41121
1q91__1__1.A__1.B_1.C_1.D,1,0.4116
1q91__1__1.A__1.B_1.C_1.D,2,0.483907
1q91__1__1.A__1.B_1.C_1.D,3,0.468422
1q91__1__1.A__1.B_1.C_1.D,4,0.715719
1rlz__1__1.A_2.A_3.A_4.A__2.B_3.B,0,31.6248
1rlz__1__1.A_2.A_3.A_4.A__2.B_3.B,1,31.5202
1rlz__1__1.A_2.A_3.A_4.A__2.B_3.B,2,31.5376
1rlz__1__1.A_2.A_3.A_4.A__2.B_3.B,3,31.6354
1rlz__1__1.A_2.A_3.A_4.A__2.B_3.B,4,31.5102
1wop__1__1.A__1.B,0,0.451951
1wop__1__1.A__1.B,1,0.40507
1wop__1__1.A__1.B,2,0.0
1z82__1__1.A_1.B__1.D_1.I,0,51.7315
1z82__1__1.A_1.B__1.D_1.I,1,51.8334
1z82__1__1.A_1.B__1.D_1.I,2,51.7705
1z82__1__1.A_1.B__1.D_1.I,3,51.6531
1z82__1__1.A_1.B__1.D_1.I,4,51.7763
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,0,6.73416
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,1,6.59269
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,2,6.61999
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,3,6.72011
2cc7__1__1.A_2.A_4.A_8.A__1.H_8.H,4,6.71659
2dew__1__2.A__2.B_2.H,0,1.8873
2dew__1__2.A__2.B_2.H,1,2.15714
2dew__1__2.A__2.B_2.H,2,2.40465
2dew__1__2.A__2.B_2.H,3,1.71557
2dew__1__2.A__2.B_2.H,4,2.52049
2dey__1__2.A__2.B_2.H,0,2.91386
2dey__1__2.A__2.B_2.H,1,3.12759
2dey__1__2.A__2.B_2.H,2,2.92825
2dey__1__2.A__2.B_2.H,3,2.59632
2dey__1__2.A__2.B_2.H,4,3.13465
2dwp__1__1.A__1.B_1.D_1.E,0,0.870357
2dwp__1__1.A__1.B_1.D_1.E,1,0.860771
2dwp__1__1.A__1.B_1.D_1.E,2,0.804624
2dwp__1__1.A__1.B_1.D_1.E,3,0.718721
2dwp__1__1.A__1.B_1.D_1.E,4,1.06919
2e82__1__1.B__1.G_1.H,0,0.700348
2e82__1__1.B__1.G_1.H,1,0.684742
2e82__1__1.B__1.G_1.H,2,0.712095
2e82__1__1.B__1.G_1.H,3,0.687592
2e82__1__1.B__1.G_1.H,4,0.69926
2gag__1__1.A_1.B__1.H_1.J,0,30.748
2gag__1__1.A_1.B__1.H_1.J,1,12.2364
2gag__1__1.A_1.B__1.H_1.J,2,38.4605
2gag__1__1.A_1.B__1.H_1.J,3,26.723
2gag__1__1.A_1.B__1.H_1.J,4,14.6564
2gfj__1__1.A__1.C_1.D_1.I,0,1.54083
2gfj__1__1.A__1.C_1.D_1.I,1,1.65745
2gfj__1__1.A__1.C_1.D_1.I,2,6.57421
2gfj__1__1.A__1.C_1.D_1.I,3,1.89963
2gfj__1__1.A__1.C_1.D_1.I,4,6.51315
2gfk__1__1.A__1.C_1.D_1.G,0,4.35911
2gfk__1__1.A__1.C_1.D_1.G,1,4.54133
2gfk__1__1.A__1.C_1.D_1.G,2,4.77992
2gfk__1__1.A__1.C_1.D_1.G,3,2.49371
2gfk__1__1.A__1.C_1.D_1.G,4,1.97853
2hxd__1__1.A_3.A__1.B_1.C,0,0.820681
2hxd__1__1.A_3.A__1.B_1.C,1,0.973357
2hxd__1__1.A_3.A__1.B_1.C,2,0.573032
2hxd__1__1.A_3.A__1.B_1.C,3,2.19152
2hxd__1__1.A_3.A__1.B_1.C,4,1.68289
2i7d__1__1.A__1.C_1.D_1.E,0,1.2708
2i7d__1__1.A__1.C_1.D_1.E,1,1.21074
2i7d__1__1.A__1.C_1.D_1.E,2,1.1932
2i7d__1__1.A__1.C_1.D_1.E,3,2.65815
2i7d__1__1.A__1.C_1.D_1.E,4,2.37677
2iut__1__1.A_1.B__1.E_1.F,0,19.6686
2iut__1__1.A_1.B__1.E_1.F,1,19.4868
2iut__1__1.A_1.B__1.E_1.F,2,19.4419
2iut__1__1.A_1.B__1.E_1.F,3,19.6157
2iut__1__1.A_1.B__1.E_1.F,4,19.3506
2vfs__1__1.A__1.B_1.C,0,0.630281
2vfs__1__1.A__1.B_1.C,1,0.630718
2vfs__1__1.A__1.B_1.C,2,0.603001
2vfs__1__1.A__1.B_1.C,3,0.624965
2vfs__1__1.A__1.B_1.C,4,0.605324
2vft__1__1.A__1.B_1.C,0,0.567675
2vft__1__1.A__1.B_1.C,1,0.559761
2vft__1__1.A__1.B_1.C,2,0.571122
2vft__1__1.A__1.B_1.C,3,0.576251
2vft__1__1.A__1.B_1.C,4,0.680989
2vzq__1__1.A__1.C_1.F,0,0.442218
2vzq__1__1.A__1.C_1.F,1,0.576643
2vzq__1__1.A__1.C_1.F,2,0.42676
2vzq__1__1.A__1.C_1.F,3,0.474159
2vzq__1__1.A__1.C_1.F,4,0.382677
2x65__1__1.B__1.J_1.K,0,0.945487
2x65__1__1.B__1.J_1.K,1,1.1571
2x65__1__1.B__1.J_1.K,2,0.848717
2x65__1__1.B__1.J_1.K,3,0.976714
2x65__1__1.B__1.J_1.K,4,0.927312
2xce__1__1.B_1.C__1.M_1.N,0,26.1326
2xce__1__1.B_1.C__1.M_1.N,1,26.2291
2xce__1__1.B_1.C__1.M_1.N,2,26.4733
2xce__1__1.B_1.C__1.M_1.N,3,26.4032
2xce__1__1.B_1.C__1.M_1.N,4,26.4773
2xjb__1__1.A__1.D_1.G,0,0.490948
2xjb__1__1.A__1.D_1.G,1,0.363827
2xjb__1__1.A__1.D_1.G,2,0.317076
2xjb__1__1.A__1.D_1.G,3,0.406174
2xjb__1__1.A__1.D_1.G,4,0.436348
2xju__1__1.A__1.B_1.C,0,2.34885
2xju__1__1.A__1.B_1.C,1,2.59705
2xju__1__1.A__1.B_1.C,2,2.27587
2xju__1__1.A__1.B_1.C,3,2.18519
2xju__1__1.A__1.B_1.C,4,2.63085
2ybe__1__1.A__1.B_1.D_1.E_1.F,0,1.63968
2ybe__1__1.A__1.B_1.D_1.E_1.F,1,1.67499
2ybe__1__1.A__1.B_1.D_1.E_1.F,2,1.2712
2ybe__1__1.A__1.B_1.D_1.E_1.F,3,1.38973
