protein,idx,rmsd
1b5d__1__1.A_1.B__1.D,0,31.0169
1b5d__1__1.A_1.B__1.D,1,30.9733
1b5d__1__1.A_1.B__1.D,2,30.9956
1b5d__1__1.A_1.B__1.D,3,31.0047
1b5d__1__1.A_1.B__1.D,4,31.0021
1ci0__1__1.A_1.B__1.D,0,23.9503
1ci0__1__1.A_1.B__1.D,1,23.9685
1ci0__1__1.A_1.B__1.D,2,24.0242
1ci0__1__1.A_1.B__1.D,3,24.1335
1ci0__1__1.A_1.B__1.D,4,24.2453
1dku__2__1.B_3.A_3.B__3.E,0,44.2107
1dku__2__1.B_3.A_3.B__3.E,1,44.416
1dku__2__1.B_3.A_3.B__3.E,2,44.4329
1dku__2__1.B_3.A_3.B__3.E,3,44.2216
1dku__2__1.B_3.A_3.B__3.E,4,44.2711
1dp4__2__1.A__1.C,0,20.7591
1dp4__2__1.A__1.C,1,21.3036
1dp4__2__1.A__1.C,2,21.2444
1dp4__2__1.A__1.C,3,21.4482
1dp4__2__1.A__1.C,4,21.4294
1dvr__1__1.A_1.B__1.C,0,15.2128
1dvr__1__1.A_1.B__1.C,1,14.8628
1dvr__1__1.A_1.B__1.C,2,14.7059
1dvr__1__1.A_1.B__1.C,3,15.7029
1dvr__1__1.A_1.B__1.C,4,14.6745
1e1z__1__2.A__2.B,0,32.0778
1e1z__1__2.A__2.B,1,32.6052
1e1z__1__2.A__2.B,2,33.0632
1e1z__1__2.A__2.B,3,33.2357
1e1z__1__2.A__2.B,4,31.8831
1fj4__1__1.B__1.F,0,0.442445
1fj4__1__1.B__1.F,1,0.541572
1fj4__1__1.B__1.F,2,0.579466
1fj4__1__1.B__1.F,3,0.458272
1fj4__1__1.B__1.F,4,0.46385
1g60__1__1.A__1.D,0,0.315694
1g60__1__1.A__1.D,1,0.281546
1g60__1__1.A__1.D,2,0.327928
1g60__1__1.A__1.D,3,0.341965
1g60__1__1.A__1.D,4,0.299779
1g77__1__1.A_2.A__2.D_2.E,0,24.1342
1g77__1__1.A_2.A__2.D_2.E,1,24.2038
1g77__1__1.A_2.A__2.D_2.E,2,24.1732
1g77__1__1.A_2.A__2.D_2.E,3,24.1836
1g77__1__1.A_2.A__2.D_2.E,4,24.1811
1gqg__2__1.B__1.Q,0,25.2834
1gqg__2__1.B__1.Q,1,24.8702
1gqg__2__1.B__1.Q,2,26.0579
1gqg__2__1.B__1.Q,3,25.2826
1gqg__2__1.B__1.Q,4,25.0701
1gtk__1__1.A__1.B,0,0.565057
1gtk__1__1.A__1.B,1,0.698488
1gtk__1__1.A__1.B,2,0.567438
1gtk__1__1.A__1.B,3,0.694093
1gtk__1__1.A__1.B,4,0.504059
1gzf__3__1.C__1.I_1.J,0,9.15792
1gzf__3__1.C__1.I_1.J,1,9.79629
1gzf__3__1.C__1.I_1.J,2,8.71006
1gzf__3__1.C__1.I_1.J,3,8.84211
1gzf__3__1.C__1.I_1.J,4,8.68048
1h1i__1__1.A_1.C__1.E,0,34.0322
1h1i__1__1.A_1.C__1.E,1,34.3576
1h1i__1__1.A_1.C__1.E,2,33.9329
1h1i__1__1.A_1.C__1.E,3,34.156
1h1i__1__1.A_1.C__1.E,4,33.7206
1h36__1__2.B__2.G,0,0.799267
1h36__1__2.B__2.G,1,1.0108
1h36__1__2.B__2.G,2,1.23089
1h36__1__2.B__2.G,3,0.773359
1h36__1__2.B__2.G,4,1.17221
1h3c__1__2.B__2.G,0,0.920478
1h3c__1__2.B__2.G,1,0.818962
1h3c__1__2.B__2.G,2,0.80455
1h3c__1__2.B__2.G,3,0.956758
1h3c__1__2.B__2.G,4,0.853069
1h79__1__1.A_2.A__2.B_2.C,0,20.888
