rmsd,score,method,protein,rank
0.2750535860855836,,chai-1,2vfs__1__1.A__1.B_1.C,1
0.27247351350513066,,chai-1,2vfs__1__1.A__1.B_1.C,2
0.5591621221934626,,chai-1,2vfs__1__1.A__1.B_1.C,3
0.2907176908311622,,chai-1,2vfs__1__1.A__1.B_1.C,4
0.5454860018580137,,chai-1,2vfs__1__1.A__1.B_1.C,5
0.15387114724851278,,chai-1,6kfe__1__1.A_2.A__1.D,1
0.2905246727807163,,chai-1,6kfe__1__1.A_2.A__1.D,2
0.1583625553334123,,chai-1,6kfe__1__1.A_2.A__1.D,3
0.11599832095927569,,chai-1,6kfe__1__1.A_2.A__1.D,4
0.12436049395449612,,chai-1,6kfe__1__1.A_2.A__1.D,5
0.06475612340957558,,chai-1,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,1
0.07702252160877972,,chai-1,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,2
0.06729025949564892,,chai-1,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3
0.0621490026553173,,chai-1,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,4
0.07443134202735908,,chai-1,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,5
0.2107146813014797,,chai-1,5hcn__1__1.A__1.C_1.D,1
0.33421731896997753,,chai-1,5hcn__1__1.A__1.C_1.D,2
0.29484543630023924,,chai-1,5hcn__1__1.A__1.C_1.D,3
0.3143604681933863,,chai-1,5hcn__1__1.A__1.C_1.D,4
0.2454203306642089,,chai-1,5hcn__1__1.A__1.C_1.D,5
1.0373501356751162,,chai-1,3k42__1__1.B__1.I,1
1.0500260580641483,,chai-1,3k42__1__1.B__1.I,2
0.5406058162681721,,chai-1,3k42__1__1.B__1.I,3
0.6005221901977722,,chai-1,3k42__1__1.B__1.I,4
0.5954188369385298,,chai-1,3k42__1__1.B__1.I,5
0.9924958990945205,,chai-1,2d3n__1__1.A__1.E,1
0.7533847176568531,,chai-1,2d3n__1__1.A__1.E,2
1.172417388961966,,chai-1,2d3n__1__1.A__1.E,3
0.8131456913746699,,chai-1,2d3n__1__1.A__1.E,4
0.9468366012387279,,chai-1,2d3n__1__1.A__1.E,5
1.2820490825202546,,chai-1,1uoo__1__1.A__1.B,1
1.2832055940289118,,chai-1,1uoo__1__1.A__1.B,2
1.4011462370106627,,chai-1,1uoo__1__1.A__1.B,3
1.4681851107326396,,chai-1,1uoo__1__1.A__1.B,4
1.2236375534525437,,chai-1,1uoo__1__1.A__1.B,5
2.412059686292144,,chai-1,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,1
1.939324605161849,,chai-1,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,2
1.8355585439349096,,chai-1,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,3
2.1829348628022704,,chai-1,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,4
1.9947682993094735,,chai-1,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,5
0.548250272165293,,chai-1,7ee5__1__1.A__1.H,1
0.23321614980367064,,chai-1,7ee5__1__1.A__1.H,2
0.5178777334757027,,chai-1,7ee5__1__1.A__1.H,3
0.570780173338614,,chai-1,7ee5__1__1.A__1.H,4
0.5265259253267995,,chai-1,7ee5__1__1.A__1.H,5
0.6333773478508666,,chai-1,4kgq__1__3.A_3.B__3.F,1
0.8482765479335533,,chai-1,4kgq__1__3.A_3.B__3.F,2
0.9889385562347341,,chai-1,4kgq__1__3.A_3.B__3.F,3
1.0169133013448992,,chai-1,4kgq__1__3.A_3.B__3.F,4
1.0245313017620175,,chai-1,4kgq__1__3.A_3.B__3.F,5
0.8566578722445939,,chai-1,7vbv__1__1.B__1.N,1
0.3794432745923498,,chai-1,7vbv__1__1.B__1.N,2
0.39528735679316646,,chai-1,7vbv__1__1.B__1.N,3
0.4483340281671959,,chai-1,7vbv__1__1.B__1.N,4
0.6503677561983996,,chai-1,7vbv__1__1.B__1.N,5
0.9524324169347269,,chai-1,3ca5__2__2.A__2.D,1
0.932053865777476,,chai-1,3ca5__2__2.A__2.D,2
0.9064739460343476,,chai-1,3ca5__2__2.A__2.D,3
0.902013001368469,,chai-1,3ca5__2__2.A__2.D,4
