rmsd_≤_2å,mol_pred_loaded,mol_true_loaded,mol_cond_loaded,sanitization,molecular_formula,molecular_bonds,tetrahedral_chirality,double_bond_stereochemistry,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,double_bond_flatness,internal_energy,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,rmsd,pb_valid,method,post-processing,dataset,docked_ligand_successfully_loaded,method_category,method_assignment_index,rmsd_within_threshold,rmsd_within_threshold_and_pb_valid,RMSD ≤ 2 Å & PB-Valid,RMSD ≤ 2 Å
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,42.62270947544492,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,46.13280184229378,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,5.931511629136282,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,44.93802684623267,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,31.874788405506152,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,15.509481930468803,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,31.320390927646294,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,4.031223655568136,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,4.171436740650636,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.8593731181797577,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,57.39695080477708,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3.4820028509875915,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,2.5723157210964605,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,3.758593380064765,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,5.276043138688723,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.7435351370311966,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,8.382652237972048,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,4.827686846738865,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,2.513365196703416,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,4.2848101911481065,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,31.91014471731521,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,30.394767704239275,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6008795012313202,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,5.859189075949613,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.7128781130864138,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,2.441688038738471,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,0.8767344566101001,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.5858517091701496,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,22.32974707849177,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1.0859273707828645,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.6425278638454728,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,43.64197079974305,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.9752595409476448,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,3.765731087136335,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.436463874555579,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,39.796716647004125,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,5.827588676410558,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,17.24611364580779,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,0.8787055037843754,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,4.735857012490834,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.3304097506632232,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,5.383904291787234,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5.737978206855873,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.8801518034049801,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,35.08759930285596,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.9620661063066251,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,38.34672020619886,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,12.339723095311918,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,1.4356489452121957,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.3157067920806946,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.229903671718772,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,23.884176155145063,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1.137500782150914,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,32.662569380545484,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,12.29370497305023,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,0.8966461899768485,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,11.616776729064789,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,36.01467420932404,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2.901879978048713,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,27.674992473771937,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,4.036544132877364,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,5.79310509047766,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,0.9499264481648452,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,65.13700053930754,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,51.67465951519737,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,20.67209403135326,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,24.417978565782224,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,1.981070409315799,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,False,0,1
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.9745583581958602,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,True,True,1,1
False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,2.065794337581838,False,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24.678785667552606,True,DiffDock-L,none,Posebusters Benchmark set,True,DL-based blind,0,False,False,0,0
