rmsd,score,method,protein,rank
1.0830901283500114,0.92,gnina,1r34__1__1.A__1.C_1.D,1
1.2890017799606721,0.92,gnina,1r34__1__1.A__1.C_1.D,2
1.6581899016646464,0.89,gnina,1r34__1__1.A__1.C_1.D,3
0.4403886842942536,0.83,gnina,1r34__1__1.A__1.C_1.D,4
1.9341555382916664,0.72,gnina,1r34__1__1.A__1.C_1.D,5
0.4119544096069344,0.99,gnina,2vfs__1__1.A__1.B_1.C,1
1.3691777600852715,0.93,gnina,2vfs__1__1.A__1.B_1.C,2
2.4785147348974528,0.89,gnina,2vfs__1__1.A__1.B_1.C,3
1.8338949858072036,0.85,gnina,2vfs__1__1.A__1.B_1.C,4
1.8851876974316224,0.84,gnina,2vfs__1__1.A__1.B_1.C,5
1.1259433242062569,0.59,gnina,6kfe__1__1.A_2.A__1.D,1
0.5454594404944642,0.55,gnina,6kfe__1__1.A_2.A__1.D,2
1.0572687777027143,0.54,gnina,6kfe__1__1.A_2.A__1.D,3
0.2534664471103005,0.54,gnina,6kfe__1__1.A_2.A__1.D,4
0.4803318121020938,0.53,gnina,6kfe__1__1.A_2.A__1.D,5
4.406498973270053e-05,0.98,gnina,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,1
4.534666087559692e-05,0.97,gnina,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,2
4.496823099741205e-05,0.95,gnina,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3
4.801584322754495e-05,0.95,gnina,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,4
4.812239585975193e-05,0.87,gnina,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,5
0.7038909350359396,0.99,gnina,5hcn__1__1.A__1.C_1.D,1
1.5792156607835146,0.99,gnina,5hcn__1__1.A__1.C_1.D,2
2.2921828263644897,0.98,gnina,5hcn__1__1.A__1.C_1.D,3
1.9632745493564885,0.98,gnina,5hcn__1__1.A__1.C_1.D,4
2.6837984113743967,0.93,gnina,5hcn__1__1.A__1.C_1.D,5
,0.93,gnina,7li5__1__1.A__1.C,1
,0.91,gnina,7li5__1__1.A__1.C,2
,0.84,gnina,7li5__1__1.A__1.C,3
,0.63,gnina,7li5__1__1.A__1.C,4
,0.53,gnina,7li5__1__1.A__1.C,5
1.1648072523811905,0.77,gnina,3k42__1__1.B__1.I,1
0.229552845824722,0.71,gnina,3k42__1__1.B__1.I,2
1.1476524795660352,0.69,gnina,3k42__1__1.B__1.I,3
0.20064467893266022,0.66,gnina,3k42__1__1.B__1.I,4
0.1662827868300584,0.65,gnina,3k42__1__1.B__1.I,5
1.7173726602499568,0.86,gnina,2d3n__1__1.A__1.E,1
1.6927251977930222,0.78,gnina,2d3n__1__1.A__1.E,2
1.7081327001335933,0.74,gnina,2d3n__1__1.A__1.E,3
1.8554561277681636,0.66,gnina,2d3n__1__1.A__1.E,4
2.711522029610143,0.66,gnina,2d3n__1__1.A__1.E,5
1.8571319109609306,0.83,gnina,1uoo__1__1.A__1.B,1
3.418294257381885,0.83,gnina,1uoo__1__1.A__1.B,2
3.0248679827511156,0.82,gnina,1uoo__1__1.A__1.B,3
3.2923852424943445,0.76,gnina,1uoo__1__1.A__1.B,4
3.6564679080500784,0.71,gnina,1uoo__1__1.A__1.B,5
0.9236359823625878,0.96,gnina,1siw__1__1.B_1.C__1.L,1
0.15167975300395867,0.95,gnina,1siw__1__1.B_1.C__1.L,2
1.0799279647440554,0.82,gnina,1siw__1__1.B_1.C__1.L,3
0.9768226682660865,0.74,gnina,1siw__1__1.B_1.C__1.L,4
1.3336983024849935,0.59,gnina,1siw__1__1.B_1.C__1.L,5
1.1000513877290456,0.98,gnina,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,1
0.28280958025330444,0.97,gnina,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,2
1.930502474599856,0.76,gnina,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,3
1.860447435886271,0.6,gnina,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,4
2.2371426006883577,0.58,gnina,3ogm__2__1.E_1.F__1.CA_1.DA_1.EA_1.FA,5
0.7361923565279815,0.72,gnina,7ee5__1__1.A__1.H,1
0.561950884277457,0.28,gnina,7ee5__1__1.A__1.H,2
1.101734062246173,0.24,gnina,7ee5__1__1.A__1.H,3
1.4223996068285767,0.2,gnina,7ee5__1__1.A__1.H,4
1.6569777720040082,0.2,gnina,7ee5__1__1.A__1.H,5
1.0481504756425626,0.42,gnina,4kgq__1__3.A_3.B__3.F,1
1.140656478870999,0.34,gnina,4kgq__1__3.A_3.B__3.F,2
1.1946998931670605,0.34,gnina,4kgq__1__3.A_3.B__3.F,3
0.8763121153726349,0.27,gnina,4kgq__1__3.A_3.B__3.F,4
0.6243999250393584,0.27,gnina,4kgq__1__3.A_3.B__3.F,5
0.14044448427065792,0.99,gnina,7vbv__1__1.B__1.N,1
0.7521225854378784,0.79,gnina,7vbv__1__1.B__1.N,2
0.5033626210741508,0.71,gnina,7vbv__1__1.B__1.N,3
0.8612672927679625,0.68,gnina,7vbv__1__1.B__1.N,4
0.5266727478409138,0.34,gnina,7vbv__1__1.B__1.N,5
1.2128337352000795,0.54,gnina,3ca5__2__2.A__2.D,1
1.5547590410969951,0.5,gnina,3ca5__2__2.A__2.D,2
1.803260242802248,0.46,gnina,3ca5__2__2.A__2.D,3
0.9475696779620804,0.45,gnina,3ca5__2__2.A__2.D,4
1.4274807270466163,0.44,gnina,3ca5__2__2.A__2.D,5
0.2348905055806563,0.94,gnina,6y88__6__1.F__1.U,1
1.204391820600571,0.86,gnina,6y88__6__1.F__1.U,2
1.9358152905951609,0.84,gnina,6y88__6__1.F__1.U,3
1.4168704356477975,0.78,gnina,6y88__6__1.F__1.U,4
2.296878622450258,0.7,gnina,6y88__6__1.F__1.U,5
0.48344210124354126,0.78,gnina,1lqv__2__1.B__1.J,1
0.7642265541012503,0.75,gnina,1lqv__2__1.B__1.J,2
0.9349566867866693,0.73,gnina,1lqv__2__1.B__1.J,3
1.0246644218721095,0.7,gnina,1lqv__2__1.B__1.J,4
0.6732658838242093,0.63,gnina,1lqv__2__1.B__1.J,5
1.063566419463349,0.94,gnina,8eg6__2__1.G_1.H__1.AA,1
1.1738574272499305,0.92,gnina,8eg6__2__1.G_1.H__1.AA,2
1.2798624260230804,0.91,gnina,8eg6__2__1.G_1.H__1.AA,3
1.1970121385976644,0.88,gnina,8eg6__2__1.G_1.H__1.AA,4
1.486398629095544,0.85,gnina,8eg6__2__1.G_1.H__1.AA,5
1.3645613953077786,0.64,gnina,5e62__2__2.C_2.D_3.D__3.N,1
0.7548165560769295,0.36,gnina,5e62__2__2.C_2.D_3.D__3.N,2
2.069027717700923,0.26,gnina,5e62__2__2.C_2.D_3.D__3.N,3
2.0878609579418623,0.26,gnina,5e62__2__2.C_2.D_3.D__3.N,4
0.9704550897475146,0.23,gnina,5e62__2__2.C_2.D_3.D__3.N,5
0.5976525829931513,0.58,gnina,6hmh__1__1.A__1.B_1.D_1.E,1
2.228283322844091,0.38,gnina,6hmh__1__1.A__1.B_1.D_1.E,2
1.271882587039442,0.34,gnina,6hmh__1__1.A__1.B_1.D_1.E,3
0.5258920315278327,0.3,gnina,6hmh__1__1.A__1.B_1.D_1.E,4
0.8328934015345346,0.28,gnina,6hmh__1__1.A__1.B_1.D_1.E,5
0.2343077602991722,0.99,gnina,4tlb__1__1.A_1.F__1.V_1.W,1
