rmsd,score,method,protein,rank
1.4940854508382009,137.53929345991443,surfdock,1r34__1__1.A__1.C_1.D,1
1.322747728114449,123.7984021011349,surfdock,1r34__1__1.A__1.C_1.D,2
1.5272790008007397,111.24283873436292,surfdock,1r34__1__1.A__1.C_1.D,3
1.084845883109006,106.84647208023814,surfdock,1r34__1__1.A__1.C_1.D,4
1.0539517116432773,105.01793401354745,surfdock,1r34__1__1.A__1.C_1.D,5
1.252421217781456,385.5653101535718,surfdock,2vfs__1__1.A__1.B_1.C,1
3.445570355205054,306.4108994322106,surfdock,2vfs__1__1.A__1.B_1.C,2
2.122464999754295,285.7162566916231,surfdock,2vfs__1__1.A__1.B_1.C,3
2.470130328115891,242.2124486985689,surfdock,2vfs__1__1.A__1.B_1.C,4
3.5649196831929846,241.45342803494688,surfdock,2vfs__1__1.A__1.B_1.C,5
1.078607837794704,21.47504975771106,surfdock,6kfe__1__1.A_2.A__1.D,1
0.6557552138528142,20.426480010782313,surfdock,6kfe__1__1.A_2.A__1.D,2
0.9938200778298021,20.211530576588714,surfdock,6kfe__1__1.A_2.A__1.D,3
0.7722637301121964,18.702014139857148,surfdock,6kfe__1__1.A_2.A__1.D,4
0.7904066727774738,18.112321030998928,surfdock,6kfe__1__1.A_2.A__1.D,5
0.06721251027560689,272.1727054960624,surfdock,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,1
0.06719873518343956,267.3585781631674,surfdock,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,2
0.0672074051446441,259.9731880885449,surfdock,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,3
0.06720637969196958,256.3562403557782,surfdock,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,4
0.06720795333606244,255.02227844520013,surfdock,2ccc__1__4.A_5.A_6.A_9.A__4.F_9.F,5
0.9473081333118578,389.01628243501284,surfdock,5hcn__1__1.A__1.C_1.D,1
1.0977039074323707,386.6990984160712,surfdock,5hcn__1__1.A__1.C_1.D,2
1.049821627594109,338.43159137316366,surfdock,5hcn__1__1.A__1.C_1.D,3
1.180891722816126,334.49355527823076,surfdock,5hcn__1__1.A__1.C_1.D,4
0.8660224680892797,332.02641559198327,surfdock,5hcn__1__1.A__1.C_1.D,5
,185.77673156353853,surfdock,7li5__1__1.A__1.C,1
,153.375291042883,surfdock,7li5__1__1.A__1.C,2
,152.83511855903208,surfdock,7li5__1__1.A__1.C,3
,150.24623243733748,surfdock,7li5__1__1.A__1.C,4
,141.21895968361872,surfdock,7li5__1__1.A__1.C,5
0.4564200023868075,35.39981287405475,surfdock,3k42__1__1.B__1.I,1
0.5955643804801125,31.72208969542773,surfdock,3k42__1__1.B__1.I,2
0.3669659373295753,31.33180556359033,surfdock,3k42__1__1.B__1.I,3
0.5875543834993011,28.78876397101271,surfdock,3k42__1__1.B__1.I,4
